Dt(hr),Pwf(psi),Pi(psi),DP(psi),Dp',Qo(bbl/d),Bo(bbl/STB),viscosity oil(cp),porosity,Ct(psi^-1),Co(bbl/psi),h(ft),rw(ft),re(ft),S,k(md),Cs(RB/psi),Doi
0.01,3957.78,4000,42.22,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3957.78,4000,42.22,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3957.78,4000,42.22,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3957.78,4000,42.22,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3957.78,4000,42.22,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3957.78,4000,42.22,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3957.78,4000,42.22,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3957.56,4000,42.44,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3957.34,4000,42.66,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3957.12,4000,42.88,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3957.12,4000,42.88,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.9,4000,43.1,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.9,4000,43.1,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.68,4000,43.32,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.68,4000,43.32,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.68,4000,43.32,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.46,4000,43.54,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.24,4000,43.76,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.24,4000,43.76,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.24,4000,43.76,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.01,4000,43.99,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.01,4000,43.99,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.01,3956.01,4000,43.99,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3956.01,4000,43.99,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3956.01,4000,43.99,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3956.01,4000,43.99,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3955.79,4000,44.21,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3955.56,4000,44.44,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3955.56,4000,44.44,3.6,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3955.56,4000,44.44,3.55,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3955.33,4000,44.67,3.55,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3955.33,4000,44.67,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3955.33,4000,44.67,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3955.1,4000,44.9,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3955.1,4000,44.9,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3955.1,4000,44.9,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.87,4000,45.13,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.87,4000,45.13,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.64,4000,45.36,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.64,4000,45.36,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.41,4000,45.59,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.41,4000,45.59,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.41,4000,45.59,3.49,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.41,4000,45.59,3.44,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.41,4000,45.59,3.44,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.41,4000,45.59,3.44,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.17,4000,45.83,3.44,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3954.17,4000,45.83,3.44,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3953.94,4000,46.06,3.44,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3953.94,4000,46.06,3.44,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3953.94,4000,46.06,3.44,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
0.02,3953.94,4000,46.06,3.44,3170,1.26,0.74,0.25,0.0000037,0.01,137,0.35,100,-2.3,16.05,0.01,
